scrape_time,measurement_time,wind_speed,wind_speed_max,direction,online
2020-04-06 21:52:13.062443,2020-04-06 21:09:00.000000,13.8833,15.9,228.532,1
2020-04-06 21:52:13.062443,2020-04-06 21:11:00.000000,13.8537,16.9,229.013,1
2020-04-06 21:52:13.062443,2020-04-06 21:13:00.000000,14.3844,16.7,227.995,1
2020-04-06 21:52:13.062443,2020-04-06 21:15:00.000000,14.1891,16.1,224.078,1
2020-04-06 21:52:13.062443,2020-04-06 21:17:00.000000,13.9068,16,223.954,1
2020-04-06 21:52:13.062443,2020-04-06 21:19:00.000000,13.2366,15.1,224.428,1
2020-04-06 21:52:13.062443,2020-04-06 21:21:00.000000,13.1349,15.2,227.631,1
2020-04-06 21:52:13.062443,2020-04-06 21:23:00.000000,13.2913,15.3,230.687,1
2020-04-06 21:52:13.062443,2020-04-06 21:25:00.000000,14.1087,15.8,229.644,1
2020-04-06 21:52:13.062443,2020-04-06 21:27:00.000000,13.7698,15.8,229.585,1
2020-04-06 21:52:13.062443,2020-04-06 21:29:00.000000,13.9732,16.1,227.134,1
2020-04-06 21:52:13.062443,2020-04-06 21:31:00.000000,14.5295,16.1,227.34,1
2020-04-06 21:52:13.062443,2020-04-06 21:33:00.000000,12.5915,15.3,225.669,1
2020-04-06 21:52:13.062443,2020-04-06 21:35:00.000000,12.7733,14.4,225.439,1
2020-04-06 21:52:13.062443,2020-04-06 21:37:00.000000,11.9167,14.5,223.627,1
2020-04-06 21:52:13.062443,2020-04-06 21:39:00.000000,11.2833,14.2,223.604,1
2020-04-06 21:52:13.062443,2020-04-06 21:41:00.000000,11.9178,13.7,227.306,1
2020-04-06 21:52:13.062443,2020-04-06 21:43:00.000000,11.5239,13.1,228.383,1
2020-04-06 21:52:13.062443,2020-04-06 21:45:00.000000,11.9318,13.4,227.863,1
2020-04-06 21:52:13.062443,2020-04-06 21:47:00.000000,12.3561,14.1,228.915,1
2020-04-06 21:52:13.062443,2020-04-06 21:49:00.000000,13.3767,15,230.492,1
2020-04-06 21:52:13.062443,2020-04-06 21:51:00.000000,12.4957,14.3,225.392,1
